Name,Vac,Paco,Pdco,Vdco,Pso,C0,C1,C2,C3,Pnt,Vdcmax,Idcmax,Mppt_low,Mppt_high,Manufacturer,Model
ABB: PVI-3.0-OUTD-S-US-Z (208 V) 208V [CEC 2016],208.0,3000.0,3142.3,310.0,18.1663,-8.04e-06,-1.1e-05,0.00099853,-0.00028723599999999996,0.1,480.0,0.00625,100.0,480.0,ABB,PVI-3.0-OUTD-S-US-Z (208 V) 208V [CEC 2016]
ABB: PVI-3.0-OUTD-S-US-Z (240 V) 240V [CEC 2016],240.0,3000.0,3121.67,340.0,16.8808,-5.7e-06,-2.12e-05,0.000582316,-0.000712325,0.1,480.0,0.00625,100.0,480.0,ABB,PVI-3.0-OUTD-S-US-Z (240 V) 240V [CEC 2016]
ABB: PVI-3.0-OUTD-S-US-Z (277 V) 277V [CEC 2016],277.0,3000.0,3106.85,390.0,22.0451,-5.46e-06,-3.32e-05,-3.24E-05,-0.00118015,0.2,480.0,0.00625,100.0,480.0,ABB,PVI-3.0-OUTD-S-US-Z (277 V) 277V [CEC 2016]
ABB: PVI-3.0-OUTD-S-US-Z [208V] 208V [CEC 2018],208.0,3000.0,3142.3,310.0,18.1663,-8.03949e-06,-1.10253e-05,0.00099853,-0.00028723599999999996,0.1,480.0,10.1365,100.0,480.0,ABB,PVI-3.0-OUTD-S-US-Z [208V] 208V [CEC 2018]
ABB: PVI-3.0-OUTD-S-US-Z [240V] 240V [CEC 2018],240.0,3000.0,3121.67,340.0,16.8808,-5.7019e-06,-2.11913e-05,0.000582316,-0.000712325,0.1,480.0,9.18138,100.0,480.0,ABB,PVI-3.0-OUTD-S-US-Z [240V] 240V [CEC 2018]
ABB: PVI-3.0-OUTD-S-US-Z [277V] 277V [CEC 2018],277.0,3000.0,3106.85,390.0,22.0451,-5.46447e-06,-3.3182399999999996e-05,-3.23811e-05,-0.00118015,0.2,480.0,7.96628,100.0,480.0,ABB,PVI-3.0-OUTD-S-US-Z [277V] 277V [CEC 2018]
ABB: PVI-3.0-OUTD-S-US-Z-A (208V) 208V [CEC 2016],208.0,3000.0,3142.3,310.0,18.1663,-8.04e-06,-1.1e-05,0.00099853,-0.00028723599999999996,0.1,480.0,0.00625,100.0,480.0,ABB,PVI-3.0-OUTD-S-US-Z-A (208V) 208V [CEC 2016]
ABB: PVI-3.0-OUTD-S-US-Z-A (240V) 240V [CEC 2016],240.0,3000.0,3121.67,340.0,16.8808,-5.7e-06,-2.12e-05,0.000582316,-0.000712325,0.1,480.0,0.00625,100.0,480.0,ABB,PVI-3.0-OUTD-S-US-Z-A (240V) 240V [CEC 2016]
ABB: PVI-3.0-OUTD-S-US-Z-A (277V) 277V [CEC 2016],277.0,3000.0,3106.85,390.0,22.0451,-5.46e-06,-3.32e-05,-3.24E-05,-0.00118015,0.2,480.0,0.00625,100.0,480.0,ABB,PVI-3.0-OUTD-S-US-Z-A (277V) 277V [CEC 2016]
ABB: PVI-3.0-OUTD-S-US-Z-A [208V] 208V [CEC 2018],208.0,3000.0,3142.3,310.0,18.1663,-8.03949e-06,-1.10253e-05,0.00099853,-0.00028723599999999996,0.1,480.0,10.1365,100.0,480.0,ABB,PVI-3.0-OUTD-S-US-Z-A [208V] 208V [CEC 2018]
